round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.793341,40.900154,60000,4,65.454,,,,,,
2,0.295188,16.15822,60000,4,64.85,,,,,,
3,0.210358,10.533341,60000,4,65.524,1962.135009765625,0.5629754662513733,0.078125,1.8422471284866333,10,0.9904
4,0.176356,11.885531,60000,4,65.424,,,,,,
5,0.15784,4.823812,60000,4,66.014,,,,,,
6,0.145921,14.614702,60000,4,66.516,1775.3408203125,0.5905112028121948,0.07421875,1.8629608154296875,10,0.9904
