round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,1.049766,30.076914,39337,2,5.162
2,0.846903,31.295804,34617,2,1.374
3,0.695061,32.284746,24248,2,1.079
4,0.560746,32.717405,34617,2,1.148
5,0.46979,30.196072,34617,2,1.08
6,0.426888,29.421258,39337,2,1.107
7,0.392023,28.450011,39337,2,1.102
8,0.356705,27.387586,24248,2,1.111
