round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
114,0.049159,36.195381,192,1,93.168,,,,,,
115,0.06177,22.876792,192,1,93.193,,,,,,
116,0.046856,17.873497,192,1,93.114,,,,,,
117,0.044582,43.035504,192,1,93.222,,,,,,
118,0.065394,38.119055,192,1,93.144,,,,,,
119,0.062552,22.089493,192,1,93.135,,,,,,
120,0.050141,20.740774,192,1,93.226,94.5440143247742,0.3920205235481262,0.0,1.6978282928466797,7,0.4375
121,0.05301,29.737264,192,1,93.163,,,,,,
122,0.043697,71.452959,192,1,93.244,,,,,,
123,0.057298,20.857274,192,1,93.067,,,,,,
124,0.059944,22.58254,192,1,93.13,,,,,,
125,0.050224,45.908435,192,1,93.168,,,,,,
126,0.050308,27.151474,192,1,93.81,,,,,,
127,0.047374,17.016225,192,1,93.886,,,,,,
128,0.052193,61.200718,192,1,93.893,,,,,,
129,0.048901,22.103227,192,1,93.782,,,,,,
130,0.073704,87.992219,192,1,94.214,,,,,,
131,0.050852,27.656086,192,1,93.795,,,,,,
132,0.039538,29.248877,192,1,93.703,,,,,,
133,0.042415,37.432033,192,1,93.678,,,,,,
134,0.054241,15.551817,192,1,93.709,,,,,,
135,0.050874,87.292138,192,1,93.788,,,,,,
136,0.052284,24.650784,192,1,93.702,,,,,,
137,0.048771,42.677866,192,1,93.715,,,,,,
138,0.054444,72.846429,192,1,93.709,,,,,,
139,0.052629,44.726222,192,1,93.784,,,,,,
140,0.054365,44.056986,192,1,93.741,170.4587051804272,0.3887360692024231,0.0,1.019594669342041,7,0.4375
141,0.058005,28.464409,192,1,93.768,,,,,,
142,0.050177,23.966944,192,1,93.709,,,,,,
143,0.048588,14.139139,192,1,93.66,,,,,,
144,0.053576,15.974734,192,1,93.84,,,,,,
145,0.045923,36.873534,192,1,93.696,,,,,,
146,0.048885,76.278645,192,1,93.775,,,,,,
147,0.046182,19.003755,192,1,93.925,,,,,,
148,0.044573,68.451807,192,1,93.853,,,,,,
149,0.060538,26.342645,192,1,93.967,,,,,,
150,0.050219,24.671302,192,1,94.923,,,,,,
151,0.049107,26.606239,192,1,96.155,,,,,,
152,0.053424,83.043526,192,1,93.811,,,,,,
153,0.049362,63.069488,192,1,93.856,,,,,,
154,0.046996,16.252474,192,1,93.812,,,,,,
155,0.054053,35.598297,192,1,95.246,,,,,,
156,0.041977,60.056996,192,1,95.637,,,,,,
157,0.047916,22.882884,192,1,96.232,,,,,,
158,0.0551,30.02152,192,1,93.967,,,,,,
159,0.041224,26.378978,192,1,93.761,,,,,,
160,0.052532,32.620868,192,1,93.716,271.5647556321304,0.5006259083747864,0.0,1.1938508749008179,6,0.4375
161,0.058258,18.50764,192,1,93.879,,,,,,
162,0.041359,24.380681,192,1,93.989,,,,,,
163,0.055822,28.971779,192,1,93.735,,,,,,
164,0.061865,22.664173,192,1,93.735,,,,,,
165,0.041764,23.162499,192,1,93.762,,,,,,
166,0.046376,38.358901,192,1,95.415,,,,,,
167,0.053315,110.065386,192,1,95.975,,,,,,
168,0.060572,22.717856,192,1,95.053,,,,,,
169,0.043634,20.394154,192,1,93.755,,,,,,
170,0.055114,17.616125,192,1,93.866,,,,,,
171,0.049092,29.932789,192,1,93.924,,,,,,
172,0.050794,53.602754,192,1,93.951,,,,,,
173,0.043095,80.545768,192,1,93.92,,,,,,
174,0.043098,29.378403,192,1,95.701,,,,,,
175,0.048668,26.579376,192,1,95.846,,,,,,
176,0.055796,128.727518,192,1,94.475,,,,,,
177,0.057467,111.717073,192,1,93.713,,,,,,
178,0.052189,23.598098,192,1,93.806,,,,,,
179,0.053566,78.051847,192,1,93.787,,,,,,
180,0.04806,45.63215,192,1,93.845,236.95811059654397,0.46113601326942444,0.0,1.5171983242034912,7,0.4375
181,0.05441,35.174328,192,1,93.811,,,,,,
182,0.059354,50.614604,192,1,93.881,,,,,,
183,0.04108,43.429744,192,1,93.826,,,,,,
184,0.047754,117.975597,192,1,93.778,,,,,,
185,0.052833,27.376578,192,1,93.796,,,,,,
186,0.045814,54.350851,192,1,93.676,,,,,,
187,0.043961,29.5247,192,1,93.726,,,,,,
188,0.048308,19.495655,192,1,93.807,,,,,,
189,0.0464,77.747749,192,1,93.763,,,,,,
190,0.038481,39.854468,192,1,93.74,,,,,,
191,0.052503,32.071841,192,1,93.726,,,,,,
192,0.050406,55.318023,192,1,93.714,,,,,,
193,0.040851,53.621833,192,1,93.798,,,,,,
194,0.043666,36.540141,192,1,93.768,,,,,,
195,0.048997,93.066433,192,1,94.634,,,,,,
196,0.058467,32.799302,192,1,94.285,,,,,,
