round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
56,0.058188,[0],60000,0,0.124659,0.124659,0.124659,20.0605,0,0,0.0,0.0,0,0,6.463
57,0.070808,[0],60000,0,0.12653,0.12653,0.12653,20.063244,0,0,0.0,0.0,0,0,6.776
58,0.076466,[0],60000,0,0.124121,0.124121,0.124121,20.066836,0,0,0.0,0.0,0,0,6.989
59,0.05889,[0],60000,0,0.143559,0.143559,0.143559,20.070607,0,0,0.0,0.0,0,0,6.429
60,0.063107,[0],60000,0,0.12518,0.12518,0.12518,20.078125,0,0,0.0,0.0,0,0,6.622
61,0.096536,[0],60000,0,0.14003,0.14003,0.14003,20.072049,0,0,0.0,0.0,0,0,6.238
62,0.050636,[0],60000,0,0.135245,0.135245,0.135245,20.078101,0,0,0.0,0.0,0,0,6.352
63,0.110411,[0],60000,0,0.153974,0.153974,0.153974,20.087024,0,0,0.0,0.0,0,0,6.097
64,0.051415,[0],60000,0,0.134236,0.134236,0.134236,20.09464,0,0,0.0,0.0,0,0,6.162
65,0.066017,[0],60000,0,0.135385,0.135385,0.135385,20.097853,0,0,0.0,0.0,0,0,5.98
66,0.086155,[0],60000,0,0.139036,0.139036,0.139036,20.100595,0,0,0.0,0.0,0,0,5.975
67,0.067157,[0],60000,0,0.145325,0.145325,0.145325,20.110569,0,0,0.0,0.0,0,0,6.341
68,0.032627,[0],60000,0,0.123113,0.123113,0.123113,20.111662,0,0,0.0,0.0,0,0,6.036
69,0.058795,[0],60000,0,0.136523,0.136523,0.136523,20.108297,0,0,0.0,0.0,0,0,6.455
70,0.048737,[0],60000,0,0.11054,0.11054,0.11054,20.113191,0,0,0.0,0.0,0,0,6.174
71,0.073451,[0],60000,0,0.136636,0.136636,0.136636,20.121385,0,0,0.0,0.0,0,0,5.881
72,0.049581,[0],60000,0,0.128066,0.128066,0.128066,20.123543,0,0,0.0,0.0,0,0,6.253
73,0.068164,[0],60000,0,0.120498,0.120498,0.120498,20.131237,0,0,0.0,0.0,0,0,6.091
74,0.054718,[0],60000,0,0.129397,0.129397,0.129397,20.139748,0,0,0.0,0.0,0,0,6.419
75,0.06804,[0],60000,0,0.126207,0.126207,0.126207,20.141183,0,0,0.0,0.0,0,0,6.486
76,0.044137,[0],60000,0,0.129516,0.129516,0.129516,20.144175,0,0,0.0,0.0,0,0,6.028
77,0.051491,[0],60000,0,0.135087,0.135087,0.135087,20.155197,0,0,0.0,0.0,0,0,6.444
78,0.072652,[0],60000,0,0.13663,0.13663,0.13663,20.159974,0,0,0.0,0.0,0,0,6.49
79,0.054742,[0],60000,0,0.13235,0.13235,0.13235,20.157957,0,0,0.0,0.0,0,0,6.345
80,0.070197,[0],60000,0,0.132422,0.132422,0.132422,20.164224,0,0,0.0,0.0,0,0,6.272
81,0.081603,[0],60000,0,0.14038,0.14038,0.14038,20.163472,0,0,0.0,0.0,0,0,6.288
82,0.038218,[0],60000,0,0.111773,0.111773,0.111773,20.167482,0,0,0.0,0.0,0,0,6.472
83,0.062505,[0],60000,0,0.125998,0.125998,0.125998,20.175188,0,0,0.0,0.0,0,0,5.984
84,0.062993,[0],60000,0,0.152116,0.152116,0.152116,20.173572,0,0,0.0,0.0,0,0,6.213
85,0.084743,[0],60000,0,0.149159,0.149159,0.149159,20.187454,0,0,0.0,0.0,0,0,6.102
86,0.081573,[0],60000,0,0.133183,0.133183,0.133183,20.190235,0,0,0.0,0.0,0,0,6.442
87,0.062747,[0],60000,0,0.128479,0.128479,0.128479,20.194816,0,0,0.0,0.0,0,0,6.806
88,0.060656,[0],60000,0,0.130822,0.130822,0.130822,20.204354,0,0,0.0,0.0,0,0,6.156
89,0.054667,[0],60000,0,0.122833,0.122833,0.122833,20.208805,0,0,0.0,0.0,0,0,6.418
90,0.05509,[0],60000,0,0.137927,0.137927,0.137927,20.211162,0,0,0.0,0.0,0,0,6.442
91,0.066757,[0],60000,0,0.11685,0.11685,0.11685,20.212823,0,0,0.0,0.0,0,0,6.234
92,0.064262,[0],60000,0,0.134933,0.134933,0.134933,20.215987,0,0,0.0,0.0,0,0,6.889
93,0.072082,[0],60000,0,0.130983,0.130983,0.130983,20.215618,0,0,0.0,0.0,0,0,6.652
94,0.055515,[0],60000,0,0.13623,0.13623,0.13623,20.222773,0,0,0.0,0.0,0,0,6.537
95,0.086571,[0],60000,0,0.145309,0.145309,0.145309,20.226751,0,0,0.0,0.0,0,0,6.558
96,0.047277,[0],60000,0,0.123586,0.123586,0.123586,20.23053,0,0,0.0,0.0,0,0,6.578
97,0.057242,[0],60000,0,0.130649,0.130649,0.130649,20.22916,0,0,0.0,0.0,0,0,6.405
98,0.083601,[0],60000,0,0.128866,0.128866,0.128866,20.229331,0,0,0.0,0.0,0,0,6.107
99,0.053499,[0],60000,0,0.139472,0.139472,0.139472,20.235642,0,0,0.0,0.0,0,0,6.22
100,0.083549,[0],60000,0,0.139857,0.139857,0.139857,20.234245,0,0,0.0,0.0,0,0,5.941
