WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5055
Press CTRL+C to quit
127.0.0.1 - - [20/Apr/2026 22:29:49] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_fed_audit_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:51] "GET /api/monitor/live HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /sampling-lab HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_fed_audit_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_rank4_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_fullclients_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_fashion_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_fashion_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_mnist_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_cifar10_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:29:56] "GET /preview-artifacts/outputs/tiny_sd_mnist_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /fashion-spotlight HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_fed_audit_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_fullclients_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_stl10_lora_rank4_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_fashion_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_fashion_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_mnist_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_mnist_lora_central_long100_run/samples/best_loss.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2026 22:30:00] "GET /preview-artifacts/outputs/tiny_sd_cifar10_lora_fed_long100_run/samples/best_loss.png HTTP/1.1" 304 -
