round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
56,0.157042,[0],5000,0,0.118605,0.118605,0.118605,19.899829,0,0,0.0,0.0,0,0,8.051
57,0.111819,[0],5000,0,0.147757,0.147757,0.147757,19.906527,0,0,0.0,0.0,0,0,8.306
58,0.181656,[0],5000,0,0.116386,0.116386,0.116386,19.909271,0,0,0.0,0.0,0,0,8.342
59,0.180375,[0],5000,0,0.12936,0.12936,0.12936,19.914354,0,0,0.0,0.0,0,0,8.33
60,0.166585,[0],5000,0,0.122536,0.122536,0.122536,19.916862,0,0,0.0,0.0,0,0,8.376
61,0.17848,[0],5000,0,0.148551,0.148551,0.148551,19.913049,0,0,0.0,0.0,0,0,8.553
62,0.131382,[0],5000,0,0.149682,0.149682,0.149682,19.919195,0,0,0.0,0.0,0,0,8.692
63,0.231569,[0],5000,0,0.151608,0.151608,0.151608,19.917696,0,0,0.0,0.0,0,0,8.75
64,0.241335,[0],5000,0,0.160332,0.160332,0.160332,19.926081,0,0,0.0,0.0,0,0,8.735
65,0.167122,[0],5000,0,0.151273,0.151273,0.151273,19.928464,0,0,0.0,0.0,0,0,8.243
66,0.17253,[0],5000,0,0.139571,0.139571,0.139571,19.931539,0,0,0.0,0.0,0,0,8.44
67,0.165414,[0],5000,0,0.117093,0.117093,0.117093,19.931346,0,0,0.0,0.0,0,0,8.272
68,0.078734,[0],5000,0,0.119679,0.119679,0.119679,19.932618,0,0,0.0,0.0,0,0,8.305
69,0.225556,[0],5000,0,0.140263,0.140263,0.140263,19.936371,0,0,0.0,0.0,0,0,8.698
70,0.178366,[0],5000,0,0.13792,0.13792,0.13792,19.935491,0,0,0.0,0.0,0,0,8.588
71,0.236551,[0],5000,0,0.124022,0.124022,0.124022,19.938004,0,0,0.0,0.0,0,0,8.269
72,0.128634,[0],5000,0,0.133524,0.133524,0.133524,19.943651,0,0,0.0,0.0,0,0,8.561
73,0.152975,[0],5000,0,0.130789,0.130789,0.130789,19.94272,0,0,0.0,0.0,0,0,8.745
74,0.220361,[0],5000,0,0.133094,0.133094,0.133094,19.946357,0,0,0.0,0.0,0,0,8.714
75,0.217493,[0],5000,0,0.134539,0.134539,0.134539,19.943481,0,0,0.0,0.0,0,0,9.072
76,0.139831,[0],5000,0,0.141359,0.141359,0.141359,19.939394,0,0,0.0,0.0,0,0,9.18
77,0.163731,[0],5000,0,0.144476,0.144476,0.144476,19.941994,0,0,0.0,0.0,0,0,8.728
78,0.149801,[0],5000,0,0.147586,0.147586,0.147586,19.943476,0,0,0.0,0.0,0,0,9.018
79,0.187125,[0],5000,0,0.140313,0.140313,0.140313,19.950404,0,0,0.0,0.0,0,0,8.73
80,0.219678,[0],5000,0,0.136791,0.136791,0.136791,19.954389,0,0,0.0,0.0,0,0,8.797
81,0.221624,[0],5000,0,0.142178,0.142178,0.142178,19.954898,0,0,0.0,0.0,0,0,8.454
82,0.195266,[0],5000,0,0.149982,0.149982,0.149982,19.956671,0,0,0.0,0.0,0,0,8.539
83,0.231999,[0],5000,0,0.142507,0.142507,0.142507,19.959671,0,0,0.0,0.0,0,0,8.192
84,0.124241,[0],5000,0,0.128535,0.128535,0.128535,19.955171,0,0,0.0,0.0,0,0,8.255
85,0.175574,[0],5000,0,0.130529,0.130529,0.130529,19.962394,0,0,0.0,0.0,0,0,8.534
86,0.199958,[0],5000,0,0.148078,0.148078,0.148078,19.961342,0,0,0.0,0.0,0,0,8.37
87,0.29658,[0],5000,0,0.148636,0.148636,0.148636,19.961722,0,0,0.0,0.0,0,0,8.373
88,0.207009,[0],5000,0,0.152793,0.152793,0.152793,19.957949,0,0,0.0,0.0,0,0,8.243
89,0.174038,[0],5000,0,0.151623,0.151623,0.151623,19.962737,0,0,0.0,0.0,0,0,8.671
90,0.175907,[0],5000,0,0.157834,0.157834,0.157834,19.973536,0,0,0.0,0.0,0,0,8.436
91,0.113754,[0],5000,0,0.115211,0.115211,0.115211,19.973378,0,0,0.0,0.0,0,0,8.92
92,0.133066,[0],5000,0,0.139078,0.139078,0.139078,19.977512,0,0,0.0,0.0,0,0,8.322
93,0.304056,[0],5000,0,0.152301,0.152301,0.152301,19.981949,0,0,0.0,0.0,0,0,8.424
94,0.212365,[0],5000,0,0.145911,0.145911,0.145911,19.98588,0,0,0.0,0.0,0,0,8.46
95,0.12168,[0],5000,0,0.136197,0.136197,0.136197,19.984735,0,0,0.0,0.0,0,0,8.296
96,0.220044,[0],5000,0,0.140787,0.140787,0.140787,19.986266,0,0,0.0,0.0,0,0,8.853
97,0.282989,[0],5000,0,0.147657,0.147657,0.147657,19.983809,0,0,0.0,0.0,0,0,8.237
98,0.188779,[0],5000,0,0.147712,0.147712,0.147712,19.989531,0,0,0.0,0.0,0,0,8.365
99,0.241816,[0],5000,0,0.138203,0.138203,0.138203,19.988289,0,0,0.0,0.0,0,0,8.117
100,0.10071,[0],5000,0,0.1347,0.1347,0.1347,19.992218,0,0,0.0,0.0,0,0,8.773
