round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.772322,24.85108,320,1,108.671,,,,,,
2,0.210184,23.173537,320,1,108.331,,,,,,
3,0.180199,32.195635,320,1,108.415,,,,,,
4,0.128428,18.252266,320,1,108.408,,,,,,
5,0.123714,64.055861,320,1,108.418,,,,,,
6,0.112736,16.783594,320,1,108.411,,,,,,
7,0.09168,15.411692,320,1,108.429,,,,,,
8,0.1009,24.363452,320,1,108.413,,,,,,
9,0.091139,32.85447,320,1,108.407,,,,,,
10,0.086003,49.4691,320,1,108.482,732.2507751258266,0.5525837540626526,0.0,0.6923840045928955,2,0.4375
11,0.08043,20.082019,320,1,108.301,,,,,,
12,0.104498,18.93537,320,1,108.185,,,,,,
13,0.097147,17.720273,320,1,107.97,,,,,,
14,0.089979,36.011617,320,1,108.322,,,,,,
15,0.086873,29.114802,320,1,108.429,,,,,,
16,0.07776,34.156419,320,1,108.083,,,,,,
17,0.069989,13.788047,320,1,108.08,,,,,,
18,0.076521,30.835463,320,1,107.968,,,,,,
19,0.074218,20.428925,320,1,107.972,,,,,,
20,0.083229,14.988907,320,1,108.5,101.36239567240466,0.3495534658432007,0.0,1.5874035358428955,9,0.4375
21,0.078258,27.578668,320,1,108.445,,,,,,
22,0.081105,23.530335,320,1,108.424,,,,,,
23,0.081092,17.882177,320,1,108.32,,,,,,
24,0.061396,17.181712,320,1,108.414,,,,,,
25,0.077829,18.875161,320,1,108.406,,,,,,
26,0.066878,42.207201,320,1,108.429,,,,,,
27,0.072037,17.428068,320,1,108.391,,,,,,
28,0.075356,16.786989,320,1,108.399,,,,,,
29,0.063266,51.174428,320,1,108.411,,,,,,
30,0.060458,49.526693,320,1,108.458,284.24252153334925,0.30701565742492676,0.0,0.8180591464042664,3,0.4375
31,0.067664,19.341735,320,1,108.423,,,,,,
32,0.06447,28.56616,320,1,108.437,,,,,,
33,0.064258,34.946989,320,1,108.502,,,,,,
34,0.063969,17.8054,320,1,108.424,,,,,,
35,0.061391,37.422272,320,1,108.429,,,,,,
36,0.063089,20.344454,320,1,108.44,,,,,,
37,0.070042,16.189483,320,1,108.4,,,,,,
38,0.068643,14.978985,320,1,108.431,,,,,,
39,0.072862,18.958666,320,1,108.435,,,,,,
40,0.06662,52.887616,320,1,108.469,468.16101958907785,0.5820847153663635,0.0,0.6862648725509644,2,0.4375
41,0.068464,12.447344,320,1,108.436,,,,,,
42,0.060686,24.890647,320,1,108.43,,,,,,
43,0.068939,18.186236,320,1,108.45,,,,,,
44,0.063638,19.531269,320,1,108.444,,,,,,
45,0.061916,15.556562,320,1,108.455,,,,,,
46,0.067439,15.769264,320,1,108.44,,,,,,
47,0.067188,16.074222,320,1,108.43,,,,,,
48,0.069216,23.822512,320,1,108.423,,,,,,
49,0.068442,14.504349,320,1,108.459,,,,,,
50,0.070211,22.584052,320,1,108.496,145.42741982085283,0.44529032707214355,0.0,1.1634923219680786,8,0.4375
51,0.056506,18.822334,320,1,108.34,,,,,,
52,0.064457,15.779958,320,1,108.425,,,,,,
53,0.055579,27.277919,320,1,108.394,,,,,,
54,0.058184,21.884573,320,1,108.42,,,,,,
55,0.06178,29.650356,320,1,108.449,,,,,,
56,0.05432,20.469634,320,1,108.453,,,,,,
57,0.063459,16.280713,320,1,108.455,,,,,,
58,0.063237,28.437225,320,1,108.445,,,,,,
59,0.06473,17.313777,320,1,108.447,,,,,,
60,0.065356,24.289689,320,1,108.441,145.57213093220508,0.32446810603141785,0.0,1.6508047580718994,8,0.4375
61,0.052152,13.185815,320,1,108.421,,,,,,
62,0.06249,23.689576,320,1,108.418,,,,,,
63,0.062719,13.363843,320,1,108.454,,,,,,
64,0.060941,27.113405,320,1,108.433,,,,,,
65,0.060597,25.56047,320,1,108.441,,,,,,
66,0.058034,16.378498,320,1,108.417,,,,,,
67,0.057318,14.690997,320,1,108.429,,,,,,
68,0.064714,18.176876,320,1,108.408,,,,,,
69,0.066762,14.082677,320,1,108.445,,,,,,
70,0.061745,16.620678,320,1,108.471,162.0854965401986,0.2911885380744934,0.0,1.4753930568695068,8,0.4375
71,0.061795,18.619593,320,1,108.453,,,,,,
72,0.05946,16.942945,320,1,108.451,,,,,,
73,0.067522,29.254773,320,1,108.43,,,,,,
74,0.066986,14.97143,320,1,108.309,,,,,,
75,0.064476,15.728171,320,1,108.445,,,,,,
76,0.052672,13.444573,320,1,108.444,,,,,,
77,0.069566,19.229432,320,1,108.44,,,,,,
78,0.056999,35.142375,320,1,108.456,,,,,,
79,0.052866,15.835363,320,1,108.322,,,,,,
80,0.064292,15.292796,320,1,108.38,215.39969074862728,0.28404223918914795,0.0,1.688162088394165,8,0.4375
81,0.063782,15.397081,320,1,108.332,,,,,,
82,0.048906,16.24434,320,1,108.346,,,,,,
83,0.05774,29.448696,320,1,108.325,,,,,,
84,0.063811,19.969475,320,1,108.326,,,,,,
85,0.061085,21.137598,320,1,108.451,,,,,,
86,0.053219,24.959287,320,1,108.435,,,,,,
87,0.057535,12.939291,320,1,108.423,,,,,,
88,0.05336,14.406153,320,1,108.446,,,,,,
89,0.056468,13.875454,320,1,108.452,,,,,,
90,0.057469,20.867707,320,1,108.469,192.89503865909523,0.36565083265304565,0.0,0.9333030581474304,7,0.4375
91,0.065757,20.532925,320,1,108.424,,,,,,
92,0.05153,21.959846,320,1,108.462,,,,,,
