round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
42,0.165105,"[1, 0, 2, 3]",5000,0,0.142081,0.145418,0.078532,19.874008,27824252,27832776,6956063.0,6958194.0,4,4,64.845
43,0.17143,"[0, 2, 3, 1]",5000,0,0.137068,0.155435,0.077848,19.876765,27824252,27832776,6956063.0,6958194.0,4,4,67.213
44,0.201408,"[0, 3, 2, 1]",5000,0,0.134014,0.146458,0.074585,19.880267,27824252,27832776,6956063.0,6958194.0,4,4,66.468
45,0.15895,"[0, 3, 1, 2]",5000,0,0.134635,0.146745,0.073642,19.879923,27824252,27832776,6956063.0,6958194.0,4,4,64.896
46,0.172306,"[1, 3, 2, 0]",5000,0,0.13018,0.143444,0.066836,19.883189,27824252,27832776,6956063.0,6958194.0,4,4,65.23
47,0.217179,"[1, 2, 3, 0]",5000,0,0.13278,0.146472,0.072407,19.884987,27824252,27832776,6956063.0,6958194.0,4,4,67.107
48,0.204716,"[3, 1, 0, 2]",5000,0,0.150588,0.161877,0.079761,19.8849,27824252,27832776,6956063.0,6958194.0,4,4,64.989
49,0.158152,"[0, 2, 1, 3]",5000,0,0.146786,0.152122,0.077274,19.885213,27824252,27832776,6956063.0,6958194.0,4,4,64.639
50,0.148721,"[3, 1, 2, 0]",5000,0,0.134314,0.140106,0.078597,19.888704,27824252,27832776,6956063.0,6958194.0,4,4,65.951
51,0.192822,"[0, 3, 1, 2]",5000,0,0.139786,0.153561,0.069568,19.890442,27824252,27832776,6956063.0,6958194.0,4,4,67.131
52,0.148596,"[0, 3, 2, 1]",5000,0,0.135556,0.146409,0.072589,19.894124,27824252,27832776,6956063.0,6958194.0,4,4,64.548
53,0.179114,"[3, 0, 1, 2]",5000,0,0.122938,0.128572,0.070498,19.897128,27824252,27832776,6956063.0,6958194.0,4,4,64.799
54,0.180718,"[2, 1, 0, 3]",5000,0,0.128979,0.139303,0.075486,19.898316,27824252,27832776,6956063.0,6958194.0,4,4,66.641
55,0.168602,"[3, 2, 0, 1]",5000,0,0.132878,0.139261,0.072732,19.900262,27824252,27832776,6956063.0,6958194.0,4,4,66.34
56,0.190291,"[0, 3, 2, 1]",5000,0,0.127831,0.142126,0.072393,19.902591,27824252,27832776,6956063.0,6958194.0,4,4,64.726
57,0.184828,"[3, 1, 2, 0]",5000,0,0.134428,0.151627,0.079828,19.902589,27824252,27832776,6956063.0,6958194.0,4,4,64.93
58,0.158333,"[3, 0, 2, 1]",5000,0,0.140468,0.145405,0.080432,19.905953,27824252,27832776,6956063.0,6958194.0,4,4,67.342
59,0.171041,"[0, 1, 2, 3]",5000,0,0.134455,0.151163,0.069275,19.905533,27824252,27832776,6956063.0,6958194.0,4,4,65.24
60,0.158192,"[2, 1, 3, 0]",5000,0,0.14068,0.154469,0.077409,19.910468,27824252,27832776,6956063.0,6958194.0,4,4,65.336
61,0.155439,"[1, 3, 0, 2]",5000,0,0.138167,0.154137,0.072264,19.912796,27824252,27832776,6956063.0,6958194.0,4,4,66.462
62,0.165318,"[0, 2, 1, 3]",5000,0,0.141709,0.149181,0.078954,19.911034,27824252,27832776,6956063.0,6958194.0,4,4,66.429
63,0.176132,"[0, 2, 1, 3]",5000,0,0.143817,0.15918,0.079246,19.911271,27824252,27832776,6956063.0,6958194.0,4,4,65.265
64,0.201314,"[0, 2, 3, 1]",5000,0,0.146908,0.164806,0.079124,19.914971,27824252,27832776,6956063.0,6958194.0,4,4,65.048
65,0.158978,"[0, 2, 3, 1]",5000,0,0.140044,0.148826,0.080703,19.916872,27824252,27832776,6956063.0,6958194.0,4,4,67.685
66,0.16654,"[3, 0, 2, 1]",5000,0,0.134464,0.150878,0.079695,19.922413,27824252,27832776,6956063.0,6958194.0,4,4,65.531
67,0.133124,"[0, 1, 2, 3]",5000,0,0.119079,0.143931,0.062354,19.925748,27824252,27832776,6956063.0,6958194.0,4,4,65.023
68,0.161297,"[1, 2, 3, 0]",5000,0,0.131397,0.151228,0.0695,19.92537,27824252,27832776,6956063.0,6958194.0,4,4,65.607
69,0.198488,"[2, 1, 0, 3]",5000,0,0.138454,0.154195,0.072042,19.928702,27824252,27832776,6956063.0,6958194.0,4,4,67.963
70,0.149338,"[3, 1, 0, 2]",5000,0,0.134529,0.146546,0.073671,19.931168,27824252,27832776,6956063.0,6958194.0,4,4,66.602
71,0.152651,"[3, 2, 0, 1]",5000,0,0.135615,0.144331,0.070697,19.932403,27824252,27832776,6956063.0,6958194.0,4,4,68.138
72,0.152879,"[1, 2, 3, 0]",5000,0,0.130313,0.154551,0.071647,19.932154,27824252,27832776,6956063.0,6958194.0,4,4,67.259
73,0.137247,"[2, 0, 3, 1]",5000,0,0.145916,0.152595,0.077339,19.93582,27824252,27832776,6956063.0,6958194.0,4,4,67.26
74,0.200496,"[2, 0, 1, 3]",5000,0,0.13872,0.146265,0.079179,19.934142,27824252,27832776,6956063.0,6958194.0,4,4,67.144
75,0.191577,"[0, 2, 1, 3]",5000,0,0.135064,0.146178,0.074834,19.936663,27824252,27832776,6956063.0,6958194.0,4,4,67.805
76,0.19838,"[1, 3, 0, 2]",5000,0,0.13965,0.147445,0.072743,19.939748,27824252,27832776,6956063.0,6958194.0,4,4,70.168
77,0.124816,"[1, 3, 2, 0]",5000,0,0.135861,0.146083,0.076382,19.943466,27824252,27832776,6956063.0,6958194.0,4,4,66.806
78,0.183271,"[2, 0, 1, 3]",5000,0,0.143877,0.153586,0.079141,19.944808,27824252,27832776,6956063.0,6958194.0,4,4,64.894
79,0.143044,"[2, 0, 3, 1]",5000,0,0.126865,0.138883,0.069361,19.945798,27824252,27832776,6956063.0,6958194.0,4,4,67.371
80,0.165625,"[2, 0, 3, 1]",5000,0,0.142656,0.15052,0.079068,19.948201,27824252,27832776,6956063.0,6958194.0,4,4,71.257
81,0.161868,"[1, 2, 3, 0]",5000,0,0.129525,0.133799,0.067881,19.950182,27824252,27832776,6956063.0,6958194.0,4,4,67.524
82,0.176764,"[3, 2, 1, 0]",5000,0,0.144481,0.146243,0.074134,19.951733,27824252,27832776,6956063.0,6958194.0,4,4,70.002
83,0.202873,"[0, 3, 2, 1]",5000,0,0.141815,0.145297,0.075764,19.954046,27824252,27832776,6956063.0,6958194.0,4,4,72.32
84,0.183718,"[2, 3, 0, 1]",5000,0,0.13848,0.149033,0.074561,19.954664,27824252,27832776,6956063.0,6958194.0,4,4,68.888
85,0.211699,"[1, 0, 3, 2]",5000,0,0.147639,0.156928,0.08455,19.957477,27824252,27832776,6956063.0,6958194.0,4,4,70.191
86,0.156426,"[0, 1, 3, 2]",5000,0,0.144105,0.150799,0.08081,19.957141,27824252,27832776,6956063.0,6958194.0,4,4,70.329
87,0.188377,"[0, 1, 2, 3]",5000,0,0.145841,0.151954,0.083685,19.961566,27824252,27832776,6956063.0,6958194.0,4,4,69.362
88,0.177713,"[1, 0, 2, 3]",5000,0,0.137587,0.150806,0.077967,19.96569,27824252,27832776,6956063.0,6958194.0,4,4,65.616
89,0.150388,"[0, 3, 1, 2]",5000,0,0.135681,0.150715,0.071752,19.970924,27824252,27832776,6956063.0,6958194.0,4,4,65.306
90,0.209708,"[1, 3, 0, 2]",5000,0,0.142308,0.148319,0.077144,19.97293,27824252,27832776,6956063.0,6958194.0,4,4,66.809
91,0.187045,"[3, 0, 1, 2]",5000,0,0.136727,0.151023,0.073998,19.976724,27824252,27832776,6956063.0,6958194.0,4,4,64.388
92,0.192817,"[1, 3, 2, 0]",5000,0,0.136914,0.13838,0.075695,19.97857,27824252,27832776,6956063.0,6958194.0,4,4,64.374
93,0.176641,"[1, 0, 2, 3]",5000,0,0.139273,0.148577,0.075405,19.979329,27824252,27832776,6956063.0,6958194.0,4,4,66.563
94,0.188739,"[3, 1, 2, 0]",5000,0,0.131132,0.134228,0.072035,19.979021,27824252,27832776,6956063.0,6958194.0,4,4,66.588
95,0.159461,"[2, 1, 3, 0]",5000,0,0.137902,0.150454,0.070219,19.98108,27824252,27832776,6956063.0,6958194.0,4,4,64.871
96,0.148971,"[0, 3, 1, 2]",5000,0,0.133246,0.14213,0.07852,19.978204,27824252,27832776,6956063.0,6958194.0,4,4,65.07
97,0.223746,"[2, 0, 3, 1]",5000,0,0.145022,0.1511,0.078707,19.980886,27824252,27832776,6956063.0,6958194.0,4,4,67.752
98,0.149852,"[2, 3, 1, 0]",5000,0,0.134308,0.147177,0.078174,19.982483,27824252,27832776,6956063.0,6958194.0,4,4,65.765
99,0.200261,"[0, 1, 3, 2]",5000,0,0.144508,0.149609,0.077845,19.985134,27824252,27832776,6956063.0,6958194.0,4,4,64.86
100,0.177429,"[0, 2, 1, 3]",5000,0,0.143544,0.149384,0.076276,19.986784,27824252,27832776,6956063.0,6958194.0,4,4,65.111
