round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
151,0.066753,10.159614,12800,1,38.961
152,0.069098,5.476322,12800,1,38.882
153,0.068022,4.560661,12800,1,38.771
154,0.067027,5.762991,12800,1,38.892
155,0.068563,8.498911,12800,1,38.815
156,0.067529,4.199672,12800,1,38.817
157,0.067868,8.586937,12800,1,38.869
158,0.067131,9.070389,12800,1,38.843
159,0.066805,5.211633,12800,1,38.779
160,0.068111,11.808641,12800,1,38.853
161,0.066548,8.790723,12800,1,38.806
162,0.066333,5.242689,12800,1,38.843
163,0.067231,7.748766,12800,1,38.772
164,0.066346,7.505354,12800,1,38.796
165,0.067384,9.626233,12800,1,38.874
166,0.067259,5.746146,12800,1,38.818
167,0.067402,9.482386,12800,1,38.805
168,0.068124,8.401026,12800,1,38.844
169,0.066923,5.81817,12800,1,38.819
170,0.065754,5.747268,12800,1,38.843
171,0.067677,10.69099,12800,1,38.753
172,0.067073,12.187487,12800,1,38.771
173,0.066462,4.171838,12800,1,38.859
174,0.067542,7.229123,12800,1,38.813
175,0.066736,5.945482,12800,1,38.794
176,0.067367,11.19353,12800,1,38.864
177,0.067109,5.169631,12800,1,38.775
178,0.06624,4.932675,12800,1,38.848
179,0.067538,6.875277,12800,1,38.772
180,0.066639,8.39237,12800,1,38.842
181,0.067782,6.983311,12800,1,38.874
182,0.067168,6.765209,12800,1,38.768
183,0.065704,5.559499,12800,1,38.759
184,0.066778,9.481441,12800,1,38.863
185,0.065561,8.497045,12800,1,38.769
186,0.066434,6.985763,12800,1,38.871
187,0.06668,5.329168,12800,1,38.759
188,0.065936,4.915103,12800,1,38.78
189,0.066506,9.212703,12800,1,38.824
190,0.066762,7.525821,12800,1,38.814
191,0.066471,9.34099,12800,1,38.772
192,0.067275,9.455826,12800,1,38.845
193,0.066303,7.81452,12800,1,38.789
194,0.066225,6.230501,12800,1,38.735
195,0.065613,6.622879,12800,1,38.859
196,0.066897,7.907776,12800,1,38.732
197,0.066818,9.160262,12800,1,38.842
198,0.065489,5.251026,12800,1,38.804
199,0.066323,9.101481,12800,1,38.788
200,0.066911,6.971663,12800,1,38.824
201,0.066843,4.658769,12800,1,38.708
202,0.065989,5.085379,12800,1,38.724
203,0.066222,4.84371,12800,1,38.788
204,0.066476,4.38506,12800,1,38.745
205,0.065513,5.326905,12800,1,38.795
206,0.06498,6.032982,12800,1,38.777
207,0.065211,11.206969,12800,1,38.699
208,0.065905,7.645324,12800,1,38.784
209,0.065741,4.474539,12800,1,38.723
