round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
73,0.104266,"[2, 3]",10568,0,0.121147,0.130601,0.085466,20.005611,13912126,13916388,6956063.0,6958194.0,2,2,31.218
74,0.127367,"[1, 2]",21574,0,0.144499,0.145613,0.122371,20.010887,13912126,13916388,6956063.0,6958194.0,2,2,29.533
75,0.233195,"[0, 2]",25634,0,0.136098,0.142348,0.125161,20.020383,13912126,13916388,6956063.0,6958194.0,2,2,29.601
76,0.228146,"[2, 3]",10568,0,0.13736,0.147102,0.103963,20.01737,13912126,13916388,6956063.0,6958194.0,2,2,29.323
77,0.122024,"[1, 0]",39432,0,0.116509,0.124716,0.084853,20.020906,13912126,13916388,6956063.0,6958194.0,2,2,29.54
78,0.218181,"[2, 0]",25634,0,0.135638,0.135841,0.11712,20.025753,13912126,13916388,6956063.0,6958194.0,2,2,30.368
79,0.15667,"[0, 2]",25634,0,0.131571,0.132532,0.11282,20.027595,13912126,13916388,6956063.0,6958194.0,2,2,30.388
80,0.195987,"[2, 1]",21574,0,0.149531,0.153215,0.121529,20.027029,13912126,13916388,6956063.0,6958194.0,2,2,32.258
81,0.178515,"[0, 3]",28426,0,0.144461,0.153839,0.12492,20.032829,13912126,13916388,6956063.0,6958194.0,2,2,31.638
82,0.161334,"[2, 1]",21574,0,0.12571,0.135994,0.098871,20.032856,13912126,13916388,6956063.0,6958194.0,2,2,30.671
83,0.116342,"[1, 0]",39432,0,0.134355,0.140184,0.098048,20.035922,13912126,13916388,6956063.0,6958194.0,2,2,30.438
84,0.216996,"[1, 2]",21574,0,0.146395,0.14644,0.126813,20.042777,13912126,13916388,6956063.0,6958194.0,2,2,31.121
85,0.186954,"[0, 3]",28426,0,0.146087,0.149582,0.120425,20.036469,13912126,13916388,6956063.0,6958194.0,2,2,30.371
86,0.157743,"[3, 0]",28426,0,0.140047,0.146245,0.118238,20.043258,13912126,13916388,6956063.0,6958194.0,2,2,31.809
87,0.144077,"[1, 0]",39432,0,0.120971,0.134565,0.088243,20.042841,13912126,13916388,6956063.0,6958194.0,2,2,31.644
88,0.205688,"[3, 2]",10568,0,0.142159,0.149124,0.106801,20.039124,13912126,13916388,6956063.0,6958194.0,2,2,32.078
89,0.224077,"[1, 3]",24366,0,0.141691,0.14552,0.108415,20.033485,13912126,13916388,6956063.0,6958194.0,2,2,30.628
90,0.191217,"[3, 0]",28426,0,0.14699,0.147274,0.127101,20.043022,13912126,13916388,6956063.0,6958194.0,2,2,28.975
91,0.159549,"[1, 2]",21574,0,0.110533,0.117307,0.099254,20.048443,13912126,13916388,6956063.0,6958194.0,2,2,28.484
92,0.244499,"[2, 1]",21574,0,0.160275,0.160703,0.144408,20.034422,13912126,13916388,6956063.0,6958194.0,2,2,28.807
93,0.097468,"[2, 1]",21574,0,0.120556,0.125679,0.095798,20.03321,13912126,13916388,6956063.0,6958194.0,2,2,28.483
94,0.139375,"[3, 0]",28426,0,0.125593,0.135428,0.091015,20.034851,13912126,13916388,6956063.0,6958194.0,2,2,28.586
95,0.13231,"[1, 0]",39432,0,0.129208,0.139364,0.093117,20.038892,13912126,13916388,6956063.0,6958194.0,2,2,28.996
96,0.175561,"[0, 1]",39432,0,0.144517,0.151303,0.101014,20.043863,13912126,13916388,6956063.0,6958194.0,2,2,30.512
97,0.231189,"[0, 2]",25634,0,0.141983,0.144908,0.124732,20.048977,13912126,13916388,6956063.0,6958194.0,2,2,29.575
98,0.161917,"[1, 2]",21574,0,0.128765,0.137798,0.101497,20.05718,13912126,13916388,6956063.0,6958194.0,2,2,28.994
99,0.132176,"[1, 0]",39432,0,0.151487,0.152594,0.11772,20.067676,13912126,13916388,6956063.0,6958194.0,2,2,28.444
100,0.155185,"[0, 2]",25634,0,0.134317,0.13761,0.118471,20.06785,13912126,13916388,6956063.0,6958194.0,2,2,28.688
