run_name,dataset,architecture,base_channels,channel_multipliers,blocks_per_level,lora_rank,lora_alpha,model_params_total,model_params_trainable,rounds,lr,max_steps_per_epoch,clients_per_round,sampling_steps,sampler,sampler_requested,sampler_effective,ddim_eta,clip_denoised,checkpoint_kind_requested,checkpoint_kind_loaded,best_round,best_proxy_fid,last_proxy_fid,recomputed_eval_proxy_fid,rebound,tail_mean_proxy_fid,tail_std_proxy_fid,last_avg_client_loss,payload_bytes_raw,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
mnist_b40x5_decoder_x0_centralized_t500_long_run,mnist,unet,40,1-2-4-8-8,2,4,4.0,22444929,22444929,180,0.0001,80,1,500,ddpm,ddpm,ddpm,0.0,True,best,best,67,0.430539,0.601778,0.7183470726013184,0.17123900000000003,0.7637227999999999,0.23274154105221523,0.040529,0,103.44830322265625,0.9660264849662781,0.91015625,2.2866063117980957,10,0.9889
mnist_b40x5_decoder_x0_centralized_fulltrain150_v2_run,mnist,unet,40,1-2-4-8-8,2,4,4.0,22444929,22444929,150,0.0001,80,1,300,ddpm,ddpm,ddpm,0.0,True,best,best,86,0.650412,2.438605,1.4076111316680908,1.788193,2.4988411,0.8603379243507112,0.044841,0,322.8145751953125,0.9559966325759888,0.875,2.1326379776000977,10,0.9889
mnist_b40x5_decoder_x0_semantic100_run,mnist,unet,40,1-2-4-8-8,2,4,4.0,22444929,825729,100,0.00015,20,4,300,ddpm,ddpm,ddpm,0.0,True,best,best,10,3.404016,4.939272,5.346075534820557,1.535256,5.434546200000001,0.8640465384284345,0.064546,3379727,500.0860595703125,0.8314199447631836,0.51953125,2.008079767227173,10,0.9889
