round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
68,0.124059,"[2, 3]",35752,0,0.132402,0.13304,0.095218,20.073894,13912126,13916388,6956063.0,6958194.0,2,2,28.78
69,0.10748,"[2, 0]",34617,0,0.146689,0.147661,0.111694,20.085894,13912126,13916388,6956063.0,6958194.0,2,2,29.081
70,0.147883,"[2, 1]",20663,0,0.149781,0.154987,0.119519,20.094802,13912126,13916388,6956063.0,6958194.0,2,2,28.014
71,0.138918,"[1, 3]",25383,0,0.132544,0.13272,0.110391,20.098965,13912126,13916388,6956063.0,6958194.0,2,2,27.331
72,0.112214,"[0, 2]",34617,0,0.133419,0.141423,0.095795,20.102517,13912126,13916388,6956063.0,6958194.0,2,2,27.393
73,0.067067,"[2, 3]",35752,0,0.135392,0.135615,0.100882,20.110311,13912126,13916388,6956063.0,6958194.0,2,2,28.008
74,0.080053,"[1, 2]",20663,0,0.133806,0.140884,0.104151,20.107437,13912126,13916388,6956063.0,6958194.0,2,2,27.647
75,0.148304,"[0, 2]",34617,0,0.127622,0.129616,0.090686,20.106535,13912126,13916388,6956063.0,6958194.0,2,2,27.326
76,0.156743,"[2, 3]",35752,0,0.13893,0.139223,0.10254,20.114257,13912126,13916388,6956063.0,6958194.0,2,2,28.536
77,0.089573,"[1, 0]",24248,0,0.128871,0.131928,0.112489,20.124306,13912126,13916388,6956063.0,6958194.0,2,2,29.058
78,0.146821,"[2, 0]",34617,0,0.141498,0.144989,0.102144,20.129085,13912126,13916388,6956063.0,6958194.0,2,2,28.359
79,0.091042,"[0, 2]",34617,0,0.137797,0.142192,0.103731,20.131265,13912126,13916388,6956063.0,6958194.0,2,2,27.966
80,0.143202,"[2, 1]",20663,0,0.147943,0.154874,0.125244,20.142949,13912126,13916388,6956063.0,6958194.0,2,2,27.461
81,0.092101,"[0, 3]",39337,0,0.138142,0.150513,0.101856,20.148731,13912126,13916388,6956063.0,6958194.0,2,2,27.995
82,0.092559,"[2, 1]",20663,0,0.132352,0.134018,0.107427,20.153671,13912126,13916388,6956063.0,6958194.0,2,2,27.678
83,0.07951,"[1, 0]",24248,0,0.132528,0.138159,0.104053,20.154886,13912126,13916388,6956063.0,6958194.0,2,2,27.436
84,0.10887,"[1, 2]",20663,0,0.135586,0.136853,0.107629,20.158543,13912126,13916388,6956063.0,6958194.0,2,2,27.721
85,0.098971,"[0, 3]",39337,0,0.142691,0.145813,0.100591,20.158132,13912126,13916388,6956063.0,6958194.0,2,2,29.253
86,0.096803,"[3, 0]",39337,0,0.139051,0.14617,0.100463,20.163786,13912126,13916388,6956063.0,6958194.0,2,2,28.452
87,0.083009,"[1, 0]",24248,0,0.129178,0.139129,0.101655,20.167864,13912126,13916388,6956063.0,6958194.0,2,2,28.152
88,0.106965,"[3, 2]",35752,0,0.138364,0.141721,0.105046,20.167756,13912126,13916388,6956063.0,6958194.0,2,2,27.307
89,0.129681,"[1, 3]",25383,0,0.141084,0.145814,0.117599,20.173514,13912126,13916388,6956063.0,6958194.0,2,2,27.441
90,0.107109,"[3, 0]",39337,0,0.139768,0.14252,0.108323,20.170446,13912126,13916388,6956063.0,6958194.0,2,2,27.563
91,0.095328,"[1, 2]",20663,0,0.129227,0.13393,0.105668,20.179963,13912126,13916388,6956063.0,6958194.0,2,2,27.629
92,0.152146,"[2, 1]",20663,0,0.132751,0.133157,0.106735,20.181136,13912126,13916388,6956063.0,6958194.0,2,2,27.658
93,0.065285,"[2, 1]",20663,0,0.130636,0.132259,0.101695,20.182756,13912126,13916388,6956063.0,6958194.0,2,2,28.562
94,0.100709,"[3, 0]",39337,0,0.126789,0.132626,0.096734,20.190768,13912126,13916388,6956063.0,6958194.0,2,2,29.066
95,0.094516,"[1, 0]",24248,0,0.130911,0.1442,0.100045,20.188775,13912126,13916388,6956063.0,6958194.0,2,2,28.439
96,0.128276,"[0, 1]",24248,0,0.14378,0.145369,0.120314,20.185782,13912126,13916388,6956063.0,6958194.0,2,2,28.226
97,0.131681,"[0, 2]",34617,0,0.144984,0.145932,0.109929,20.191277,13912126,13916388,6956063.0,6958194.0,2,2,27.463
98,0.090896,"[1, 2]",20663,0,0.126357,0.13913,0.110694,20.198272,13912126,13916388,6956063.0,6958194.0,2,2,27.953
99,0.08877,"[1, 0]",24248,0,0.14312,0.144348,0.119132,20.203405,13912126,13916388,6956063.0,6958194.0,2,2,27.662
100,0.087827,"[0, 2]",34617,0,0.126247,0.127674,0.088598,20.206933,13912126,13916388,6956063.0,6958194.0,2,2,27.659
